Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
-0.743,Sun Nov 05 22:27:18 +0000 2017,0.247,0.701,0.052,"RT @BBCSport: Some sad news to bring you.

Former Stoke City defender Dionatan Teixeira has died at the age of 25.

https://t.co/L2KH7PCvqD…",0,@BBC
-0.7351,Sun Nov 05 21:32:03 +0000 2017,0.267,0.733,0.0,"🤦😂 @LiamPayne &amp; @gregjames, a fake moustache and a lift. What could possibly go wrong? #SLFN is on @BBCiPlayer now.… https://t.co/wA9yBPWNHQ",1,@BBC
0.5574,Sun Nov 05 20:49:53 +0000 2017,0.0,0.825,0.175,"RT @BBCOne: Q: How many tickles does it take to make a squid laugh?
A: Ten tickles. 

#BluePlanet2 https://t.co/fhKPOUBp5U",2,@BBC
0.3818,Sun Nov 05 20:47:59 +0000 2017,0.109,0.714,0.176,RT @bbcstrictly: That shock result has left us spinning. RT to show your love for @AstonMerrygold and @JManrara 💖 https://t.co/KJVszLhB2k,3,@BBC
0.2732,Sun Nov 05 20:46:18 +0000 2017,0.0,0.826,0.174,"RT @BBCTwo: Well, you don't see that every day... #RobotWars https://t.co/sLq92M7mqY",4,@BBC
0.4404,Sun Nov 05 20:46:10 +0000 2017,0.0,0.707,0.293,RT @BBCOne: Can’t beat a good accessory. 👑 #BluePlanet2 https://t.co/mRZZEdwmlO,5,@BBC
0.5574,Sun Nov 05 20:46:01 +0000 2017,0.0,0.825,0.175,RT @BBCPanorama: Watch our #paradisepapers investigation into the offshore secrets of the rich &amp; famous on iPlayer.  https://t.co/MIH4CMbhZ…,6,@BBC
-0.6705,Sun Nov 05 20:08:11 +0000 2017,0.191,0.809,0.0,"RT @BBCBreaking: At least 27 people killed in Texas church shooting, police commissioner in Sutherland Springs tells US media https://t.co/…",7,@BBC
0.0,Sun Nov 05 19:35:03 +0000 2017,0.0,1.0,0.0,🎥 @LouisTheroux meets disaffected former members of the Church of Scientology. #MyScientologyMovie. Tonight at 9pm… https://t.co/5hRLxriwiW,8,@BBC
-0.4215,Sun Nov 05 19:02:04 +0000 2017,0.203,0.797,0.0,When your other half cheats on you with #StrangerThings. 😡 Via @BBCTheSocial. https://t.co/NOpHOfbIKb,9,@BBC
0.0,Sun Nov 05 18:31:08 +0000 2017,0.0,1.0,0.0,😋 Family favourites at their finest. Check out these recipes for 10 absolute classics. 👉 https://t.co/kFD6BsfO6q https://t.co/xw1Q5SYadk,10,@BBC
0.4939,Sun Nov 05 18:01:02 +0000 2017,0.0,0.758,0.242,Second hand smoke affects our pets too. 🚭🐶 Via @BBCBreakfast. https://t.co/TCdA8m85dm,11,@BBC
0.0,Sun Nov 05 17:29:05 +0000 2017,0.0,1.0,0.0,It took more than 1 man on a single night to nearly change the course of British history. 🔥 #BonfireNight.… https://t.co/RnzZm8yh9j,12,@BBC
0.0,Sun Nov 05 17:01:05 +0000 2017,0.0,1.0,0.0,"'It's one of those stories you think you know. Then you realise you just don't.'

Do you know the real… https://t.co/M8np5ep1yz",13,@BBC
-0.1027,Sun Nov 05 16:30:06 +0000 2017,0.062,0.938,0.0,"💰🥃 How much would you pay for a cask of rare Scotch whisky? An anonymous buyer in Hong Kong just dropped £285,000.… https://t.co/ZzUInzNqEo",14,@BBC
0.0,Sun Nov 05 16:02:04 +0000 2017,0.0,1.0,0.0,"#PeakyBlinders series 4 returns to @BBCTwo, Wednesday 15th November at 9pm. https://t.co/lbVlyzhb4p",15,@BBC
0.0,Sun Nov 05 15:32:01 +0000 2017,0.0,1.0,0.0,"Tonight, #BluePlanet2 makes a groundbreaking journey to the depths of the ocean. 8pm on @BBCOne. 🐟 🐡 🐙… https://t.co/S3gcHqmTMf",16,@BBC
-0.3182,Sun Nov 05 15:00:21 +0000 2017,0.173,0.827,0.0,Moynaq: The port city that lost its water. 💦 Via @BBC_Travel. https://t.co/Qr1ZLExpBb https://t.co/G8QxO8qAZ5,17,@BBC
0.3802,Sun Nov 05 14:30:05 +0000 2017,0.0,0.844,0.156,"Having a bonfire today? 🔥
Make sure you think about the hedgehogs! Via @BBCSpringwatch.

More 👉… https://t.co/zbHOX6yl9O",18,@BBC
0.5994,Sun Nov 05 14:00:17 +0000 2017,0.0,0.782,0.218,From wild goats to woodland walks - here are your pictures of beautiful Scotland. 📷 https://t.co/sv03yk0H76 https://t.co/KHKNGXcROU,19,@BBC
0.0,Sun Nov 05 13:30:06 +0000 2017,0.0,1.0,0.0,"Can @Joe_Sugg zip it for 30s? 
If chatting is your thing, how about a sponsored silence for #CiN? 
More ideas here… https://t.co/OPA2UMuuPZ",20,@BBC
0.0,Sun Nov 05 13:00:08 +0000 2017,0.0,1.0,0.0,Guy Fawkes: Why do bonfires still burn 400 years on? 🔥 #BonfireNight #GuyFawkesNight. https://t.co/dAKAZY4ZEX https://t.co/lsiivkKSgk,21,@BBC
0.0,Sun Nov 05 12:01:01 +0000 2017,0.0,1.0,0.0,🐙 A group of octopuses were seen taking a leisurely stroll along a Ceredigion beach last Friday night. Via… https://t.co/n3jq0oNT7J,22,@BBC
0.0772,Sun Nov 05 11:00:06 +0000 2017,0.0,0.942,0.058,🏙By 2050 70% of the world's population will be living in cities. Time to radically rethink what we want from a city… https://t.co/pz5xleBKWz,23,@BBC
-0.2349,Sun Nov 05 10:05:04 +0000 2017,0.096,0.852,0.052,"⚽️✊ When the boys wouldn't let them play football, these girls took matters into their own hands. Via @BBC100Women. https://t.co/0j68Wbrr3Z",24,@BBC
0.0,Sun Nov 05 09:30:26 +0000 2017,0.0,1.0,0.0,".@LindaRobson58, @tomallencomedy, @misJORGIEPORTER &amp; @OreOduba star in @GrumpyLGoodman's Partners in Rhyme:… https://t.co/SLJlz8D01M",25,@BBC
0.0,Sun Nov 05 09:30:09 +0000 2017,0.0,1.0,0.0,"🎬 From the new Pixar animation to Oscar-favourite coming-of-age stories, here are 10 films to watch this November.👉… https://t.co/NqtcuUqOXN",26,@BBC
0.0,Sun Nov 05 09:24:59 +0000 2017,0.0,1.0,0.0,"RT @BBCWthrWatchers: Morning all! Only one way to start our Sunday and that's with a bit of ...

🎆Oooooooooo! 🎆 Aahhhhhhhhhh!🎆 https://t.co…",27,@BBC
0.3818,Sun Nov 05 09:24:54 +0000 2017,0.0,0.822,0.178,"RT @BBCSpringwatch: Stunning capture of puffins at the Isle of May, Scotland. https://t.co/cBWxx9rQav",28,@BBC
0.2263,Sun Nov 05 09:24:48 +0000 2017,0.0,0.917,0.083,RT @BBCFood: Heading to the fireworks later? Put this in the slow cooker and warm up when you get home https://t.co/EPJfvmFkfS https://t.co…,29,@BBC
0.8316,Sun Nov 05 09:24:40 +0000 2017,0.0,0.729,0.271,"RT @bbcstrictly: Debbie’s Tango gets a remarkable reaction from Craig, and Ruth’s Paso doesn’t quite go to plan. Watch the best bits from #…",30,@BBC
0.0,Sun Nov 05 08:30:15 +0000 2017,0.0,1.0,0.0,🎇🎆 Why do we have Bonfire Night and fireworks displays every November 5 in the UK? https://t.co/lYBHme3LJZ https://t.co/qln8Tk64FN,31,@BBC
0.7096,Sun Nov 05 08:01:01 +0000 2017,0.0,0.688,0.312,🥚🍳 Eggs for breakfast anyone? @Nigella_Lawson shares her secret for poached perfection. Via @BBC5Live. https://t.co/vnyAxh4gGU,32,@BBC
-0.2406,Sat Nov 04 21:24:11 +0000 2017,0.085,0.915,0.0,"RT @bbcmusic: ""What do you think of Chip N Pin House..?"" 😆😂
Did you miss last night's #SLFN with @LiamPayne?
Catch up 👉 https://t.co/6VxEw9…",33,@BBC
0.0,Sat Nov 04 21:03:00 +0000 2017,0.0,1.0,0.0,RT @bbcstrictly: The first 40 of #Strictly 2017! For @thedebbiemcgee and @pernicegiovann1! https://t.co/QOmbUBbH9U,34,@BBC
0.296,Sat Nov 04 20:03:04 +0000 2017,0.124,0.702,0.174,"Tonight, Josh is back and at his irritated best. @JoshWiddicombe: What Do I Do Now... 9pm on @BBCTwo. 😂… https://t.co/Do2c1i94m7",35,@BBC
-0.8271,Sat Nov 04 19:30:01 +0000 2017,0.42,0.58,0.0,.@LouisTheroux spends time with those battling the psychiatric disorder with the highest death rate.… https://t.co/2BHScuxQB5,36,@BBC
0.0,Sat Nov 04 18:54:03 +0000 2017,0.0,1.0,0.0,"Tonight, I Know Who You Are returns. 9pm on @BBCFour. https://t.co/DfGhcMNagW https://t.co/ecgQjgPaIx",37,@BBC
0.0772,Sat Nov 04 18:30:11 +0000 2017,0.086,0.817,0.097,🥕 You don't have to spend lots of time peeling &amp; chopping to make moreish veggie meals. These are ready in no time.… https://t.co/x8cDwQQVJd,38,@BBC
0.0,Sat Nov 04 18:01:03 +0000 2017,0.0,1.0,0.0,"🐝🦋🐛 'Anything that flies &amp; crawls, I illustrate them.' ~ @RLewington2.
Via @BBCSpringwatch. https://t.co/o2fbgbTVBw",39,@BBC
-0.3182,Sat Nov 04 17:30:08 +0000 2017,0.173,0.827,0.0,"'I lost £5,000 in 48 hours on fixed-odds betting machines.' https://t.co/8wIVhcOP7n https://t.co/D0GELRXjwe",40,@BBC
0.25,Sat Nov 04 17:00:04 +0000 2017,0.0,0.92,0.08,"Israa &amp; her family fled Syria in 2015. Now granted asylum in Germany, she’s rebuilt her life &amp; can go to school aga… https://t.co/pTFFUJQ3Lj",41,@BBC
0.3612,Sat Nov 04 16:31:01 +0000 2017,0.073,0.777,0.15,"Pro surfer, Heidar Logi braves Iceland's freezing conditions to surf under the Northern Lights. 🌊🏄 Via… https://t.co/6cPd5lVami",42,@BBC
0.7929,Sat Nov 04 16:00:06 +0000 2017,0.0,0.719,0.281,"What would you do if you won the lottery? Buy a house? Travel? 

Rachel Lapierre set up the charity, @LHumanitaire.… https://t.co/Xu0ld6bBAn",43,@BBC
0.4877,Sat Nov 04 15:32:06 +0000 2017,0.0,0.843,0.157,"Amy Winehouse, @Adele, @LoyleCarner &amp; @EllaEyre all went to @TheBRITSchool. But it's more than just a fame academy.… https://t.co/u4UL7qZKCr",44,@BBC
0.0,Sat Nov 04 15:00:12 +0000 2017,0.0,1.0,0.0,Trucker culture is dying with automation – and with it millions of jobs. 🚛 https://t.co/UgdVkYIbFU https://t.co/71XSYxlaZt,45,@BBC
0.5994,Sat Nov 04 14:53:43 +0000 2017,0.0,0.837,0.163,"RT @BBCMOTD: Peter Crouch = super sub.

His 15th goal as a sub.

Only Defoe (23), Kanu and Solskjaer (17) have more.

https://t.co/8UftsSAX…",46,@BBC
